Product title,Product description,Product final pricing,Product rating,Product seller name,Product image URL
CORSAIR CL-8930002 RGB LED Lighting PRO Expansion Kit,"Commander PRO and Lighting Node PRO compatible: Expand your system lighting effects and vivid illumination.
Individually addressable RGB LED Strips: Each RGB LED strip is independently controlled - display different lighting effects and animations on each strip separately.
Multiple Mounting Options: The RGB LED strips have both mounting tape backings and magnets built into the strips, making installation simple.",$44.99,4.3 out of 5,Sold & Shipped by Newegg,https://c1.neweggimages.com/ProductImageCompressAll300/11-978-009-V03.jpg
FUJIFILM 26230010 400/800GB LTO Ultrium 3 Tape Media 1 Pack,"400/800GB
1 Pack",$18.20,3 out of 5,Sold and shipped by: Cloud Computing LLC,https://c1.neweggimages.com/ProductImageCompressAll300/40-999-119-01.jpg
Crucial Pro 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CP2K16G4DFRA32A,"DDR4 3200 (PC4 25600)
CAS Latency 22
Voltage 1.20V
CP2K16G4DFRA32A",$69.99,4.5 out of 5,Sold & Shipped by Newegg,https://c1.neweggimages.com/ProductImageCompressAll300/20-156-327-06.png?ex=2
Crucial 64GB (2 x 32GB) DDR5 5200 (PC5 41600) Desktop Memory Model CT2K32G52C42U5,"DDR5 5200 (PC5 41600)
Timing 42-42-42
CAS Latency 42
Voltage 1.10V",$229.99,4.5 out of 5,Sold & Shipped by Newegg,https://c1.neweggimages.com/ProductImageCompressAll300/20-156-287-V01.jpg?ex=2
Quantum MR-L4MQN-01 800/1600GB LTO Ultrium 4 Tape Media,800/1600GB,$25.23,N/A,Sold and shipped by: Cloud Computing LLC,https://c1.neweggimages.com/ProductImageCompressAll300/40-993-013-02.jpg
WD Black 1TB Hard Drive - 7200 RPM SATA 6Gb/s 64MB Cache 2.5 Inch - WD10SPSX,"Specifically designed for small form factor desktops, laptops, and Mac computers
Performance 2.5-inch hard drives available in up to 1TB capacities
Designed for creative professionals, gamers, and system builders
An industry-leading 5-year limited warranty",$51.49,4.7 out of 5,Sold and shipped by: TheKeyKey,https://c1.neweggimages.com/ProductImageCompressAll300/1Z4-0002-017H9-V07.jpg
WD Black 5TB P10 Game Drive Portable External Hard Drive for PS5/PS4/Xbox One/PC/Mac USB 3.2 (WDBA3A0050BBK-WESN),"Up to 5TB that can hold up to 125 games, so that you can save old favorites and still have room for new titles
Portable form factor with sleek metal top covering that provides fast access to your growing game library
Speeds up to 140MB/s (2TB model) to push your console or PC to new levels
Compatible with Xbox Series X|S (play and store Xbox One games / archive Xbox Series X|S games) and PlayStation 5 (play and store PS4 games/archive PS5 games) consoles
Premium HDD with 3-year limited warranty, purpose-built for gamers based on WD_BLACK quality and reliability",$103.99,4.6 out of 5,Sold and shipped by: Tizzai,https://c1.neweggimages.com/ProductImageCompressAll300/22-234-385-S04.jpg
AMD Ryzen 9 7950X3D - Ryzen 9 7000 Series 16-Core 4.2 GHz Socket AM5 120W AMD Radeon Graphics Desktop Processor - 100-100000908WOF,"5nm 120W
128MB L3 Cache
16MB L2 Cache
AMD Radeon Graphics
Windows 11 Supported",$693.99,4.8 out of 5,Sold & Shipped by Newegg,https://c1.neweggimages.com/ProductImageCompressAll300/19-113-791-03.png
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model CMW32GX4M2D3600C18,"Dynamic Multi-Zone RGB Lighting: 10 Ultra-bright RGB LEDs per module.
Next Generation Software: Take control in CORSAIR iCUE software and synchronize lighting with other CORSAIR RGB products, including CPU coolers, keyboards and fans.
Custom Performance PCB: Provides the highest signal quality for the greatest level of performance and stability.
Tightly Screened Memory: Carefully screened ICs for extended overclocking potential.
Maximum Bandwidth and Tight Response Times: Optimized for peak performance on the latest Intel and AMD DDR4 motherboards.
No Wires Required: Requires no extra wires or cables for a clean and seamless install.
Maximum bandwidth and tight response time: Optimized on the latest AMD and Intel DDR4 motherboards.
Supports XMP 2.0: A single BIOS setting is all that's required to set your memory to its ideal performance settings, for for optimum performance.",$89.99,4.6 out of 5,Sold & Shipped by Newegg,https://c1.neweggimages.com/ProductImageCompressAll300/20-236-607-02.jpg
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model CMK32GX5M2B5600C36,"Welcome to the Cutting-Edge of Performance: Push the limits of your system like never before with DDR5 memory, unlocking even faster frequencies, greater capacities, and better performance than previous generations.
Do it All, and Do it Faster: As modern CPUs feature more and more cores, the unprecedented speed of DDR5 ensures your high-end CPU gets data quickly, enabling faster processing, rendering, and buffering than ever before.
Onboard Voltage Regulation: Makes for easier, more finely-tuned, and more stable overclocking through CORSAIR iCUE software than previous generation motherboard control.
Custom Intel XMP 3.0 Profiles: Customize and save your own XMP profiles via iCUE to tailor performance by app or task for greater efficiency.
Powerful CORSAIR iCUE Software: Enables real-time frequency readings, onboard voltage regulation, and custom XMP profiles.
Compact Form-Factor: Low clearance ensures wide compatibility with nearly any DDR5 build.",$99.99,4.7 out of 5,Sold & Shipped by Newegg,https://c1.neweggimages.com/ProductImageCompressAll300/20-236-828-V01.jpg
